Date_start,Date_end,SPT_start,SPT_end
2020-07-09 10:41:51,2020-07-10 10:48:20,2020-07-10 00:55:58,2020-07-10 02:19:28
2020-07-10 10:52:41,2020-07-11 06:47:12,2020-07-10 15:32:55,2020-07-10 16:29:11
2020-07-11 06:58:02,2020-07-12 09:27:46,2020-07-11 08:50:54,2020-07-11 11:39:21
2020-07-12 09:52:32,2020-07-13 09:30:36,2020-07-12 12:22:01,2020-07-12 17:42:33
2020-07-13 10:07:29,2020-07-14 09:39:51,2020-07-14 02:01:32,2020-07-14 02:51:14
2020-07-15 10:13:17,2020-07-16 09:26:36,2020-07-15 19:54:45,2020-07-15 23:37:50
2020-07-16 10:12:35,2020-07-17 09:33:46,2020-07-17 02:04:34,2020-07-17 02:49:56
2020-07-17 10:22:47,2020-07-18 09:18:27,2020-07-17 11:11:08,2020-07-17 12:02:47
2020-07-19 10:11:02,2020-07-20 09:45:31,2020-07-20 04:44:59,2020-07-20 07:15:43
