Date_start,Date_end,SPT_start,SPT_end
2020-09-23 10:59:22,2020-09-24 10:47:33,2020-09-23 18:36:01,2020-09-23 19:59:02
2020-09-24 10:55:49,2020-09-25 10:44:05,2020-09-25 05:51:03,2020-09-25 07:58:19
2020-09-25 10:58:01,2020-09-26 10:19:30,2020-09-25 19:20:59,2020-09-25 22:12:44
2020-09-27 09:09:27,2020-09-28 08:47:05,2020-09-28 01:08:34,2020-09-28 05:48:20
2020-09-28 09:25:44,2020-09-29 09:33:13,2020-09-28 20:20:02,2020-09-29 01:07:59
2020-09-29 10:11:50,2020-09-30 10:01:36,2020-09-30 03:29:21,2020-09-30 07:20:33
2020-09-30 10:42:53,2020-10-01 10:36:15,2020-10-01 01:14:05,2020-10-01 03:06:59
2020-10-05 15:17:43,2020-10-06 10:41:28,2020-10-06 03:14:44,2020-10-06 06:06:39
